trial_name,type
2014-12-03_P005_Post_002,D
2014-12-03_P005_Post_003,C
2014-12-03_P005_Pre_001 ,A
2014-12-03_P005_Pre_002 ,B
2014-12-03_P005_Pre_003 ,C
2014-12-03_P005_Pre_004,D
2014-12-03_P007_Post_000,A
2014-12-03_P007_Post_001,D
2014-12-03_P007_Post_002,E
2014-12-03_P007_Post_003,C
2014-12-03_P007_Pre_000,A
2014-12-03_P007_Pre_001,D
2014-12-03_P007_Pre_003,C
2014-12-03_P007_Pre_004,B
2014-12-08_P004_Post_000,A
2014-12-08_P004_Post_001,D
2014-12-08_P004_Post_002,E
2014-12-08_P004_Post_004,C
2014-12-08_P004_Pre_000,A
2014-12-08_P004_Pre_002,B
2014-12-08_P004_Pre_003,D
2014-12-08_P004_Pre_004,C
2014-12-08_P006_Post_000,A
2014-12-08_P006_Post_002,D
2014-12-08_P006_Post_003,C
2014-12-08_P006_Post_004,E
2014-12-08_P006_Pre_000,A
2014-12-08_P006_Pre_001,C
2014-12-08_P006_Pre_002,D
2014-12-08_P006_Pre_003,B
2014-12-08_P007_Post_000,A
2014-12-08_P007_Post_002,D
2014-12-08_P007_Post_003,C
2014-12-08_P007_Post_004,E
2014-12-08_P007_Pre_000,A
2014-12-08_P007_Pre_001,D
2014-12-08_P007_Pre_002,C
2014-12-08_P007_Pre_003,B
2014-12-09_P007_Post_000,A
2014-12-09_P007_Post_001,E
2014-12-09_P007_Post_002,C
2014-12-09_P007_Post_003,D
2014-12-09_P007_Pre_001,A
2014-12-09_P007_Pre_002,B
2014-12-09_P007_Pre_005,D
2014-12-09_P007_Pre_006,C
2014-12-16_P005_Post_001,A
2014-12-16_P005_Post_002,D
2014-12-16_P005_Post_004,E
2014-12-16_P005_Post_005,C
2014-12-16_P005_Pre_000,A
2014-12-16_P005_Pre_001,C
2014-12-16_P005_Pre_002,B
2014-12-16_P005_Pre_003,D
2014-12-16_P007_Post_007,A
2014-12-16_P007_Post_008,D
2014-12-16_P007_Post_009,C
2014-12-16_P007_Post_010,E
2014-12-16_P007_Pre_000,A
2014-12-16_P007_Pre_001,B
2014-12-16_P007_Pre_002,C
2014-12-16_P007_Pre_003,D
2014-12-22_P005_Post_000,A
2014-12-22_P005_Post_001,C
2014-12-22_P005_Post_002,E
2014-12-22_P005_Post_003,D
2014-12-22_P005_Pre_000,A
2014-12-22_P005_Pre_001,B
2014-12-22_P005_Pre_002,D
2014-12-22_P005_Pre_003,C
2014-12-22_P006_Post_000,A
2014-12-22_P006_Post_001,E
2014-12-22_P006_Post_002,D
2014-12-22_P006_Post_003,C
2014-12-22_P006_Pre_000,A
2014-12-22_P006_Pre_001,C
2014-12-22_P006_Pre_002,D
2014-12-22_P006_Pre_003,B
2014-12-22_P007_Post_000,A
2014-12-22_P007_Post_001,C
2014-12-22_P007_Post_002,D
2014-12-22_P007_Post_003,E
2014-12-22_P007_Pre_000,A
2014-12-22_P007_Pre_001,B
2014-12-22_P007_Pre_002,B
2014-12-22_P007_Pre_003,D
2014-12-22_P007_Pre_004,C
